country,latitude,longitude,name
ad.png,42.546245,1.601554,Andorra
ae.png,23.424076,53.847818,United Arab Emirates
af.png,33.93911,67.709953,Afghanistan
ag.png,17.060816,-61.796428,Antigua and Barbuda
ai.png,18.220554,-63.068615,Anguilla
al.png,41.153332,20.168331,Albania
am.png,40.069099,45.038189,Armenia
ao.png,12.226079,-69.060087,Netherlands Antilles
aq.png,-11.202692,17.873887,Angola
ar.png,-75.250973,-0.071389,Antarctica
as.png,-38.416097,-63.616672,Argentina
at.png,-14.270972,-170.132217,American Samoa
au.png,47.516231,14.550072,Austria
aw.png,-25.274398,133.775136,Australia
ax.png,12.52111,-69.968338,Aruba
az.png,40.143105,47.576927,Azerbaijan
ba.png,43.915886,17.679076,Bosnia and Herzegovina
bb.png,13.193887,-59.543198,Barbados
bd.png,23.684994,90.356331,Bangladesh
be.png,50.503887,4.469936,Belgium
bf.png,12.238333,-1.561593,Burkina Faso
bg.png,42.733883,25.48583,Bulgaria
bh.png,25.930414,50.637772,Bahrain
bi.png,-3.373056,29.918886,Burundi
bj.png,9.30769,2.315834,Benin
bl.png,32.321384,-64.75737,Bermuda
bm.png,4.535277,114.727669,Brunei
bn.png,-16.290154,-63.588653,Bolivia
bo.png,-14.235004,-51.92528,Brazil
bq.png,25.03428,-77.39628,Bahamas
br.png,27.514162,90.433601,Bhutan
bs.png,-54.423199,3.413194,Bouvet Island
bt.png,-22.328474,24.684866,Botswana
bv.png,53.709807,27.953389,Belarus
bw.png,17.189877,-88.49765,Belize
by.png,56.130366,-106.346771,Canada
bz.png,-12.164165,96.870956,Cocos [Keeling] Islands
ca.png,-4.038333,21.758664,Congo [DRC]
cc.png,6.611111,20.939444,Central African Republic
cd.png,-0.228021,15.827659,Congo [Republic]
cf.png,46.818188,8.227512,Switzerland
cg.png,7.539989,-5.54708,Côte d'Ivoire
ch.png,-21.236736,-159.777671,Cook Islands
ci.png,-35.675147,-71.542969,Chile
ck.png,7.369722,12.354722,Cameroon
cl.png,35.86166,104.195397,China
cm.png,4.570868,-74.297333,Colombia
cn.png,9.748917,-83.753428,Costa Rica
co.png,21.521757,-77.781167,Costa Rica
cr.png,16.002082,-24.013197,Cape Verde
cu.png,-10.447525,105.690449,Christmas Island
cv.png,35.126413,33.429859,Cyprus
cw.png,49.817492,15.472962,Czech Republic
cx.png,51.165691,10.451526,Germany
cy.png,11.825138,42.590275,Djibouti
cz.png,56.26392,9.501785,Denmark
de.png,15.414999,-61.370976,Dominica
dj.png,18.735693,-70.162651,Dominican Republic
dk.png,28.033886,1.659626,Algeria
dm.png,-1.831239,-78.183406,Ecuador
do.png,58.595272,25.013607,Estonia
dz.png,26.820553,30.802498,Egypt
ec.png,24.215527,-12.885834,Western Sahara
ee.png,15.179384,39.782334,Eritrea
eg.png,40.463667,-3.74922,Spain
eh.png,9.145,40.489673,Ethiopia
er.png,61.92411,25.748151,Finland
es.png,-16.578193,179.414413,Fiji
et.png,-51.796253,-59.523613,Falkland Islands [Islas Malvinas]
fi.png,7.425554,150.550812,Micronesia
fj.png,61.892635,-6.911806,Faroe Islands
fk.png,46.227638,2.213749,France
fm.png,-0.803689,11.609444,Gabon
fo.png,55.378051,-3.435973,United Kingdom
fr.png,12.262776,-61.604171,Grenada
ga.png,42.315407,43.356892,Georgia
gb-eng.png,3.933889,-53.125782,French Guiana
gb-nir.png,49.465691,-2.585278,Guernsey
gb-sct.png,7.946527,-1.023194,Ghana
gb-wls.png,36.137741,-5.345374,Gibraltar
gb.png,71.706936,-42.604303,Greenland
gd.png,13.443182,-15.310139,Gambia
ge.png,9.945587,-9.696645,Guinea
gf.png,16.995971,-62.067641,Guadeloupe
gg.png,1.650801,10.267895,Equatorial Guinea
gh.png,39.074208,21.824312,Greece
gi.png,-54.429579,-36.587909,South Georgia and the South Sandwich Islands
gl.png,15.783471,-90.230759,Guatemala
gm.png,13.444304,144.793731,Guam
gn.png,11.803749,-15.180413,Guinea-Bissau
gp.png,4.860416,-58.93018,Guyana
gq.png,31.354676,34.308825,Gaza Strip
gr.png,22.396428,114.109497,Hong Kong
gs.png,-53.08181,73.504158,Heard Island and McDonald Islands
gt.png,15.199999,-86.241905,Honduras
gu.png,45.1,15.2,Croatia
gw.png,18.971187,-72.285215,Haiti
gy.png,47.162494,19.503304,Hungary
hk.png,-0.789275,113.921327,Indonesia
hm.png,53.41291,-8.24389,Ireland
hn.png,31.046051,34.851612,Israel
hr.png,54.236107,-4.548056,Isle of Man
ht.png,20.593684,78.96288,India
hu.png,-6.343194,71.876519,British Indian Ocean Territory
id.png,33.223191,43.679291,Iraq
ie.png,32.427908,53.688046,Iran
il.png,64.963051,-19.020835,Iceland
im.png,41.87194,12.56738,Italy
in.png,49.214439,-2.13125,Jersey
io.png,18.109581,-77.297508,Jamaica
iq.png,30.585164,36.238414,Jordan
ir.png,36.204824,138.252924,Japan
is.png,-0.023559,37.906193,Kenya
it.png,41.20438,74.766098,Kyrgyzstan
je.png,12.565679,104.990963,Cambodia
jm.png,-3.370417,-168.734039,Kiribati
jo.png,-11.875001,43.872219,Comoros
jp.png,17.357822,-62.782998,Saint Kitts and Nevis
ke.png,40.339852,127.510093,North Korea
kg.png,35.907757,127.766922,South Korea
kh.png,29.31166,47.481766,Kuwait
ki.png,19.513469,-80.566956,Cayman Islands
km.png,48.019573,66.923684,Kazakhstan
kn.png,19.85627,102.495496,Laos
kp.png,33.854721,35.862285,Lebanon
kr.png,13.909444,-60.978893,Saint Lucia
kw.png,47.166,9.555373,Liechtenstein
ky.png,7.873054,80.771797,Sri Lanka
kz.png,6.428055,-9.429499,Liberia
la.png,-29.609988,28.233608,Lesotho
lb.png,55.169438,23.881275,Lithuania
lc.png,49.815273,6.129583,Luxembourg
li.png,56.879635,24.603189,Latvia
lk.png,26.3351,17.228331,Libya
lr.png,31.791702,-7.09262,Libya
ls.png,43.750298,7.412841,Monaco
lt.png,47.411631,28.369885,Moldova
lu.png,42.708678,19.37439,Montenegro
lv.png,-18.766947,46.869107,Madagascar
ly.png,7.131474,171.184478,Marshall Islands
ma.png,41.608635,21.745275,Macedonia [FYROM]
mc.png,17.570692,-3.996166,Mali
md.png,21.913965,95.956223,Myanmar [Burma]
me.png,46.862496,103.846656,Mongolia
mf.png,22.198745,113.543873,Macau
mg.png,17.33083,145.38469,Northern Mariana Islands
mh.png,14.641528,-61.024174,Martinique
mk.png,21.00789,-10.940835,Mauritania
ml.png,16.742498,-62.187366,Montserrat
mm.png,35.937496,14.375416,Malta
mn.png,-20.348404,57.552152,Mauritius
mo.png,3.202778,73.22068,Maldives
mp.png,-13.254308,34.301525,Malawi
mq.png,23.634501,-102.552784,Mexico
mr.png,4.210484,101.975766,Malaysia
ms.png,-18.665695,35.529562,Mozambique
mt.png,-22.95764,18.49041,Namibia
mu.png,-20.904305,165.618042,New Caledonia
mv.png,17.607789,8.081666,Niger
mw.png,-29.040835,167.954712,Norfolk Island
mx.png,9.081999,8.675277,Nigeria
my.png,12.865416,-85.207229,Nicaragua
